time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4756.389942	7.129389	3.315209	2.150509	89
4757.445796	7.011281	3.313213	2.116158	90
4758.459764	7.390709	3.295971	2.242347	91
4759.516768	6.739971	3.316559	2.032218	92
4760.539353	6.988293	3.313326	2.109147	93
4761.588354	7.010183	3.267891	2.145170	94
4762.600366	7.359347	3.305403	2.226460	95
4763.661407	6.800006	3.308167	2.055521	96
4764.669426	7.280886	3.314074	2.196959	97
4765.733456	6.761183	3.302156	2.047505	98
4766.737950	7.225455	3.303237	2.187387	99
4767.806887	6.942438	3.315656	2.093836	100
4768.805497	7.454972	3.313211	2.250075	101
4769.880391	6.624620	3.271630	2.024868	102
4770.876159	7.296346	3.311766	2.203159	103
4771.950869	7.023340	3.311103	2.121148	104
4772.946740	7.528706	3.275164	2.298727	105
4774.021090	6.748957	3.279686	2.057806	106
4775.020659	7.314603	3.312978	2.207863	107
4776.089487	6.900963	3.300388	2.090955	108
4777.092711	7.177722	3.305542	2.171421	109
4778.157921	7.118166	3.260876	2.182900	110
4779.166249	7.328524	3.283594	2.231861	111
4780.226991	7.028872	3.285302	2.139490	112
4781.238831	7.261660	3.305676	2.196725	113
4782.297335	7.101138	3.306384	2.147705	114
4783.310562	7.409594	3.309104	2.239154	115
4784.367592	6.961522	3.308173	2.104340	116
4785.381754	7.326194	3.297796	2.221543	117
4786.437345	7.196931	3.316226	2.170217	118
4787.452178	7.208571	3.273814	2.201888	119
4788.508788	7.251882	3.315975	2.186953	120
4789.523208	7.565650	3.305586	2.288747	121
4790.580104	6.997264	3.318293	2.108694	122
4791.594395	7.371667	3.310750	2.226586	123
4792.650739	7.174638	3.307142	2.169438	124
4793.664985	7.182429	3.261847	2.201951	125
4794.721191	7.225358	3.295916	2.192216	126
4795.735923	7.511169	3.309520	2.269565	127
4796.792297	7.123420	3.306345	2.154470	128
4797.806899	7.481685	3.314319	2.257382	129
4798.863920	7.201879	3.293789	2.186503	130
4799.877322	7.496622	3.320143	2.257921	131
4800.935545	7.240326	3.314009	2.184763	132
4801.946620	7.469050	3.316531	2.252067	133
4803.007609	7.081408	3.264198	2.169417	134
4804.016540	7.440565	3.314485	2.244863	135
4805.081446	7.147224	3.306832	2.161351	136
4806.084835	7.597093	3.281829	2.314896	137
4807.153276	7.024667	3.262422	2.153206	138
4808.153733	7.479794	3.275194	2.283771	139
4809.225389	7.144368	3.305800	2.161161	140
4810.223484	7.553220	3.253218	2.321769	141
4811.297746	7.006968	3.260864	2.148807	142
4812.294978	7.707172	3.306994	2.330567	143
4813.368131	7.097326	3.312294	2.142722	144
4814.366489	7.384000	3.245966	2.274824	145
4815.437146	7.225900	3.303183	2.187557	146
4816.439663	7.735511	3.316793	2.332226	147
4817.506396	7.281179	3.293318	2.210895	148
4818.511332	7.583806	3.313448	2.288795	149
4819.575159	7.187894	3.310463	2.171265	150
4820.583762	7.643833	3.316468	2.304811	151
4821.645337	7.132777	3.280261	2.174454	152
4822.655494	7.603008	3.253723	2.336711	153
4823.714817	7.268004	3.316141	2.191705	154
4824.727301	7.655018	3.320136	2.305634	155
4825.785676	7.372795	3.304285	2.231283	156
4826.798766	7.572527	3.256184	2.325583	157
4827.856643	7.367494	3.320133	2.219036	158
4828.879060	7.653334	3.311190	2.311355	159
4829.926728	7.370389	3.315824	2.222792	160
4830.941052	7.592689	3.301964	2.299447	161
4831.997804	7.410086	3.289261	2.252812	162
4833.011415	7.610575	3.261915	2.333162	163
4834.077869	7.341353	3.311335	2.217037	164
4835.081566	7.738449	3.313509	2.335424	165
4836.140066	7.454788	3.309739	2.252380	166
