crossing time (s)	slope (V/s)	crossing number
5871.246057	0.771305	2062
5872.314217	1.317706	2063
5873.321138	1.144381	2064
5874.382083	1.159682	2065
5875.384357	1.197278	2066
5876.456543	0.948741	2067
5877.458362	0.790195	2068
5878.527165	1.318924	2069
5879.532004	1.171813	2070
5880.595443	1.123992	2071
5881.597824	1.165360	2072
5882.669597	0.942743	2073
5883.670284	0.798229	2074
5884.739484	1.364636	2075
5885.743023	1.258785	2076
5886.809474	1.107859	2077
5887.809638	1.142958	2078
5888.883064	0.950859	2079
5889.882643	0.862636	2080
5890.953097	1.344267	2081
5891.952348	1.178416	2082
5893.024196	1.146162	2083
5894.022083	1.157164	2084
5895.097294	1.061630	2085
5896.095387	0.929313	2086
5897.166284	1.265557	2087
5898.163790	1.140201	2088
5899.237776	1.187404	2089
5900.233746	1.148183	2090
5901.312462	1.086059	2091
5902.306696	1.094505	2092
5903.379417	1.249830	2093
5904.376104	1.127320	2094
5905.451261	1.169144	2095
5906.446899	1.121030	2096
5907.523269	1.196273	2097
5908.520087	1.102936	2098
5909.592285	1.118762	2099
5910.589167	1.164665	2100
5911.663610	1.189595	2101
5912.660343	1.148854	2102
5913.735405	1.223669	2103
5914.732241	1.108928	2104
5915.804649	1.242916	2105
5916.802326	1.154575	2106
5917.875472	1.216388	2107
5918.873082	1.160349	2108
5919.946600	1.211170	2109
5920.945925	1.107123	2110
5922.016520	1.282982	2111
5923.016247	1.163710	2112
5924.087307	1.235763	2113
5925.086268	1.189952	2114
5926.158478	1.195180	2115
5927.158746	1.114753	2116
5928.227769	1.322400	2117
5929.229748	1.244651	2118
5930.297872	1.282612	2119
5931.301016	1.186202	2120
5932.368390	1.264352	2121
5933.373282	1.094947	2122
5934.438842	1.356857	2123
5935.444204	1.208304	2124
5936.509414	1.269056	2125
5937.515193	1.218862	2126
5938.580381	1.231210	2127
5939.586154	1.101633	2128
5940.650727	1.344844	2129
5941.657785	1.237179	2130
5942.721215	1.337962	2131
5943.727968	1.252585	2132
5944.792465	1.224337	2133
5945.799211	1.125864	2134
5946.863260	1.351722	2135
5947.870044	1.238192	2136
5948.933895	1.371635	2137
5949.940385	1.275390	2138
5951.005370	1.280499	2139
5952.011332	1.223625	2140
5953.076944	1.356640	2141
5954.081896	1.231858	2142
5955.147456	1.325945	2143
5956.152192	1.262640	2144
5957.219194	1.269720	2145
5958.222976	1.193316	2146
5959.289986	1.363103	2147
5960.293485	1.262836	2148
5961.361718	1.331931	2149
5962.363585	1.220147	2150
5963.433363	1.342620	2151
5964.434401	1.189580	2152
5965.503858	1.339741	2153
5966.505502	1.265762	2154
5967.575400	1.363447	2155
5968.575821	1.248077	2156
5969.647031	1.409010	2157
5970.646655	1.230306	2158
5971.717869	1.341104	2159
5972.717397	1.305268	2160
5973.788931	1.342020	2161
5974.788002	1.295622	2162
5975.859763	1.343599	2163
5976.859774	1.289943	2164
5977.930059	1.474270	2165
5978.930339	1.310540	2166
5980.000866	1.409461	2167
5981.000624	1.332609	2168
5982.072074	1.409136	2169
5983.072199	1.348344	2170
5984.142440	1.368424	2171
5985.142993	1.294444	2172
5986.213070	1.357566	2173
5987.214341	1.323813	2174
5988.284279	1.438312	2175
5989.285504	1.345682	2176
5990.354893	1.427794	2177
5991.356501	1.368340	2178
5992.424702	1.432166	2179
5993.427715	1.335100	2180
5994.495722	1.428119	2181
5995.498983	1.317641	2182
5996.565677	1.451457	2183
5997.570430	1.345981	2184
5998.636109	1.427100	2185
5999.641844	1.325196	2186
6000.707216	1.413740	2187
6001.713156	1.319105	2188
6002.777127	1.501127	2189
6003.783944	1.326668	2190
6004.847598	1.484687	2191
6005.855268	1.382484	2192
6006.918448	1.434549	2193
6007.926464	1.363062	2194
6008.988822	1.437951	2195
6009.997692	1.394212	2196
6011.059225	1.478291	2197
6012.068575	1.372668	2198
6013.130127	1.512706	2199
6014.139765	1.366137	2200
6015.201203	1.509894	2201
6016.210608	1.378302	2202
6017.272048	1.517598	2203
6018.280556	1.399755	2204
6019.344074	1.489554	2205
6020.351757	1.397819	2206
6021.414147	1.502369	2207
6022.422638	1.379723	2208
6023.485638	1.534387	2209
6024.493429	1.395964	2210
6025.556814	1.476784	2211
6026.563967	1.391567	2212
6027.627931	1.530078	2213
6028.634283	1.422282	2214
6029.699563	1.528354	2215
6030.705293	1.423602	2216
6031.770468	1.527097	2217
6032.775461	1.380200	2218
6033.841810	1.503108	2219
6034.846247	1.421803	2220
6035.913054	1.517794	2221
6036.916915	1.461812	2222
6037.984144	1.503033	2223
6038.988006	1.482759	2224
6040.055374	1.518264	2225
6041.058206	1.473410	2226
6042.126218	1.558394	2227
6043.129313	1.487611	2228
6044.197059	1.557069	2229
6045.200327	1.453168	2230
6046.268054	1.516512	2231
6047.271088	1.477198	2232
6048.338896	1.563248	2233
6049.341498	1.511086	2234
6050.410106	1.536349	2235
6051.413060	1.496123	2236
6052.480731	1.568450	2237
6053.484404	1.531145	2238
6054.550846	1.542642	2239
6055.554779	1.465447	2240
6056.621966	1.569598	2241
6057.625942	1.504054	2242
6058.692531	1.605223	2243
6059.697407	1.541320	2244
6060.763287	1.599180	2245
6061.768449	1.493411	2246
6062.833726	1.564182	2247
6063.839864	1.469353	2248
6064.904485	1.595157	2249
6065.910834	1.537081	2250
6066.974868	1.618108	2251
6067.981958	1.472590	2252
6069.045593	1.644515	2253
6070.053563	1.482383	2254
6071.116066	1.647515	2255
6072.124371	1.502994	2256
6073.186431	1.643953	2257
6074.195631	1.477439	2258
6075.257677	1.658827	2259
6076.266825	1.527541	2260
6077.328053	1.628464	2261
6078.337695	1.549618	2262
6079.398979	1.621163	2263
6080.408560	1.559305	2264
6081.469418	1.611226	2265
6082.479499	1.533365	2266
6083.540317	1.640778	2267
6084.550790	1.557457	2268
6085.611247	1.659462	2269
6086.621561	1.584283	2270
6087.681945	1.621695	2271
6088.692242	1.579502	2272
6089.753767	1.661774	2273
6090.763229	1.582045	2274
6091.824077	1.726090	2275
6092.833848	1.600980	2276
6093.895159	1.635585	2277
6094.904916	1.553700	2278
6095.966440	1.674737	2279
6096.974762	1.550425	2280
6098.037168	1.688305	2281
6099.045868	1.592683	2282
6100.108411	1.669786	2283
6101.116798	1.619672	2284
6102.179510	1.672658	2285
6103.187137	1.586540	2286
6104.250800	1.716076	2287
6105.258174	1.624126	2288
6106.321936	1.729718	2289
6107.328483	1.558601	2290
6108.393100	1.697425	2291
6109.399688	1.595292	2292
6110.464136	1.725515	2293
6111.470249	1.593748	2294
6112.535130	1.738935	2295
6113.541049	1.644142	2296
6114.606110	1.706123	2297
6115.611710	1.608889	2298
6116.677322	1.672233	2299
6117.682864	1.665774	2300
6118.747892	1.744481	2301
6119.753902	1.666260	2302
6120.819115	1.720435	2303
6121.824781	1.624923	2304
6122.889664	1.712820	2305
6123.895689	1.663955	2306
6124.960578	1.718937	2307
6125.966343	1.667050	2308
6127.031384	1.701068	2309
6128.037708	1.620110	2310
6129.102354	1.751508	2311
6130.108389	1.637197	2312
6131.172937	1.728286	2313
6132.179351	1.651296	2314
6133.243601	1.740664	2315
6134.250450	1.681252	2316
6135.314446	1.771115	2317
6136.322295	1.721859	2318
6137.385262	1.750995	2319
6138.393255	1.710680	2320
6139.455465	1.708896	2321
6140.464205	1.697924	2322
6141.525779	1.754466	2323
6142.535705	1.643658	2324
6143.596729	1.770173	2325
6144.607220	1.679634	2326
6145.667946	1.793052	2327
6146.677978	1.670446	2328
6147.737805	1.837446	2329
6148.749259	1.654675	2330
6149.808513	1.800036	2331
6150.819744	1.728111	2332
6151.879706	1.791154	2333
6152.890869	1.689533	2334
6153.950934	1.840466	2335
6154.961576	1.734766	2336
6156.021425	1.778961	2337
6157.032714	1.744673	2338
6158.092276	1.766057	2339
6159.103097	1.729511	2340
6160.163256	1.812264	2341
6161.174259	1.724663	2342
6162.234230	1.782564	2343
6163.245264	1.720686	2344
6164.305521	1.829061	2345
6165.315655	1.787127	2346
6166.376256	1.758219	2347
6167.386446	1.734093	2348
6168.447260	1.803906	2349
6169.457698	1.760275	2350
6170.518607	1.828284	2351
6171.528585	1.745526	2352
6172.589519	1.795391	2353
6173.599140	1.748014	2354
6174.660156	1.816032	2355
6175.669891	1.720026	2356
6176.731619	1.826752	2357
6177.740162	1.764230	2358
6178.802868	1.844580	2359
6179.811018	1.763759	2360
6180.873594	1.815271	2361
6181.881436	1.737585	2362
6182.944605	1.845701	2363
6183.952523	1.744440	2364
6185.015899	1.868836	2365
6186.023208	1.786872	2366
6187.086963	1.868281	2367
6188.093967	1.763767	2368
6189.157667	1.876821	2369
6190.165144	1.796129	2370
6191.228406	1.823125	2371
6192.236064	1.810105	2372
6193.299176	1.832995	2373
6194.307048	1.794117	2374
6195.370640	1.883201	2375
6196.378047	1.826396	2376
6197.441364	1.846656	2377
6198.448739	1.833159	2378
6199.511856	1.849597	2379
6200.519975	1.813556	2380
6201.582377	1.885300	2381
6202.590894	1.808227	2382
6203.653148	1.885551	2383
6204.662498	1.837680	2384
6205.723698	1.848315	2385
6206.733647	1.769726	2386
6207.794901	1.906901	2387
6208.804679	1.813796	2388
6209.865317	1.881406	2389
6210.875440	1.814652	2390
6211.935409	1.926403	2391
6212.946483	1.789584	2392
6214.006079	1.908083	2393
6215.018373	1.766013	2394
6216.076753	1.953198	2395
6217.089194	1.845496	2396
6218.147523	1.865977	2397
6219.159914	1.845376	2398
6220.218571	1.895220	2399
6221.231420	1.882668	2400
6222.288898	1.914602	2401
6223.302976	1.856022	2402
6224.360166	1.928374	2403
6225.372816	1.882017	2404
6226.430704	1.918666	2405
6227.444042	1.831442	2406
6228.501997	1.966135	2407
6229.514531	1.865048	2408
6230.573115	1.929506	2409
6231.585519	1.883276	2410
6232.643923	1.898359	2411
6233.656365	1.873119	2412
6234.715147	1.951548	2413
6235.726829	1.868166	2414
6236.786136	1.989194	2415
6237.797459	1.900026	2416
6238.857357	1.948996	2417
6239.868381	1.891868	2418
6240.928879	1.939616	2419
6241.938736	1.923669	2420
6242.999706	1.959000	2421
6244.009541	1.875234	2422
6245.070557	1.990854	2423
6246.080242	1.900974	2424
6247.141620	1.950074	2425
6248.151180	1.946331	2426
6249.212667	2.011437	2427
6250.221709	1.846297	2428
6251.283609	1.992804	2429
6252.292680	1.905649	2430
6253.354794	1.985570	2431
6254.363306	1.883386	2432
6255.425845	1.973865	2433
6256.434035	1.889126	2434
6257.497142	2.007435	2435
6258.505106	1.911734	2436
6259.567745	1.999406	2437
6260.576056	1.900049	2438
6261.638212	1.961607	2439
6262.646789	1.931052	2440
6263.709079	1.985822	2441
6264.717896	1.938306	2442
6265.780078	1.988567	2443
6266.789230	1.943831	2444
6267.850665	2.003138	2445
6268.859893	1.950947	2446
6269.920941	1.975967	2447
6270.931359	1.941229	2448
6271.992091	2.026449	2449
6273.002504	1.929836	2450
6274.062785	2.067735	2451
6275.073518	1.917246	2452
6276.133331	2.034129	2453
6277.144317	1.939666	2454
6278.204199	2.001746	2455
6279.215511	1.963661	2456
6280.274576	2.031835	2457
6281.286533	2.004311	2458
6282.345312	2.037300	2459
6283.358062	1.955929	2460
6284.416179	2.054280	2461
6285.429265	1.965673	2462
6286.486881	2.045051	2463
6287.500049	1.976872	2464
6288.557949	2.022558	2465
6289.571282	1.970226	2466
6290.628294	2.039732	2467
6291.642197	1.917212	2468
6292.699634	2.044548	2469
6293.712610	1.953188	2470
6294.770784	2.032528	2471
6295.783782	1.996630	2472
6296.841466	2.013881	2473
6297.854495	1.994034	2474
6298.912597	2.055733	2475
6299.925558	2.005610	2476
6300.983149	2.049602	2477
6301.996197	2.009809	2478
6303.054293	2.030852	2479
6304.067056	1.968685	2480
6305.125541	2.060981	2481
6306.137541	1.995915	2482
6307.196482	2.072648	2483
6308.208212	1.991759	2484
6309.267403	2.060563	2485
6310.279318	2.012122	2486
6311.338467	2.079183	2487
6312.349940	1.970313	2488
6313.409617	2.071094	2489
6314.420574	1.997911	2490
6315.480660	2.074021	2491
6316.491585	2.048190	2492
6317.551481	2.077331	2493
6318.562293	2.047925	2494
6319.622476	2.051525	2495
6320.633270	2.073107	2496
6321.693608	2.094029	2497
6322.703847	1.994918	2498
6323.764777	2.094853	2499
6324.774699	2.028682	2500
6325.835577	2.082913	2501
6326.845398	2.013507	2502
6327.906501	2.064864	2503
6328.916376	2.070485	2504
6329.977545	2.102803	2505
6330.987626	2.045714	2506
6332.048410	2.075514	2507
6333.058250	2.046684	2508
6334.119084	2.105739	2509
6335.129208	2.048609	2510
6336.190171	2.112839	2511
6337.200102	2.111397	2512
6338.260760	2.081958	2513
6339.271974	2.054848	2514
6340.331365	2.092040	2515
6341.342578	2.029650	2516
6342.402080	2.123933	2517
6343.413462	2.111859	2518
6344.472718	2.124051	2519
6345.484528	2.067807	2520
6346.543649	2.086575	2521
6347.555747	2.075598	2522
6348.614089	2.126122	2523
6349.626790	2.015024	2524
6350.684971	2.165537	2525
6351.696589	2.209237	2526
6352.690610	5.030055	2527
6354.471696	1.690995	2528
6355.483389	1.490156	2529
6356.541810	1.649886	2530
6357.555304	1.524595	2531
6358.611936	1.641953	2532
6359.627209	1.530812	2533
6360.681490	1.610325	2534
6361.695896	1.682119	2535
6362.755228	1.534854	2536
6363.764012	1.550565	2537
6364.827631	1.502376	2538
6365.831954	1.549927	2539
6366.899877	1.525449	2540
6367.902133	1.529213	2541
6368.971818	1.579307	2542
6369.972048	1.613595	2543
6371.041417	1.552722	2544
6372.041096	1.557321	2545
6373.113326	1.500452	2546
6374.112576	1.525743	2547
6375.183729	1.628775	2548
6376.184408	1.588729	2549
6377.253225	1.550447	2550
6378.254747	1.428241	2551
6379.321947	1.544333	2552
6380.326909	1.525236	2553
6381.391301	1.585807	2554
6382.398751	1.624098	2555
6383.459279	1.459725	2556
6384.472255	1.461692	2557
6385.528080	1.547872	2558
6386.543390	1.649509	2559
6387.599144	1.450934	2560
6388.612284	1.512844	2561
6389.671516	1.600561	2562
6390.680800	1.555594	2563
6391.745952	1.483346	2564
6392.747086	1.544561	2565
6393.818613	1.539181	2566
6394.817887	1.495326	2567
6395.888110	1.552887	2568
6396.887374	1.583473	2569
6399.490567	1.467117	2570
6400.486601	0.921235	2571
6401.561543	1.273594	2572
6402.558656	1.243541	2573
6403.628299	1.326216	2574
6404.630154	1.280937	2575
6405.701075	1.190673	2576
6406.702933	1.134614	2577
6407.768188	1.260935	2578
6408.771755	1.285272	2579
