time (s)	det(V)
9348.640407	0.108052	
9348.641891	0.108559	
9348.643436	0.109985	
9348.644923	0.111286	
9348.646463	0.113369	
9348.647954	0.113023	
9348.649494	0.115855	
9348.650983	0.115834	
9348.652518	0.116193	
9348.654028	0.117691	
9348.655553	0.118771	
9348.657066	0.118900	
9348.658557	0.120447	
9348.660093	0.119359	
9348.661589	0.121832	
9348.663133	0.122844	
9348.664625	0.123259	
9348.666163	0.125232	
9348.667664	0.126131	
9348.669190	0.126090	
9348.670717	0.126799	
9348.672235	0.127553	
9348.673749	0.127440	
9348.675234	0.129369	
9348.676779	0.129627	
9348.678269	0.130505	
9348.679808	0.131118	
9348.681292	0.132733	
9348.682838	0.132963	
9348.684318	0.134397	
9348.685851	0.134328	
9348.687361	0.134715	
9348.688883	0.134816	
9348.690399	0.135170	
9348.691888	0.135916	
9348.693431	0.134921	
9348.694927	0.136197	
9348.696473	0.136455	
9348.697959	0.137317	
9348.699505	0.137785	
9348.701001	0.138018	
9348.702531	0.137619	
9348.704041	0.137692	
9348.705562	0.137934	
9348.707069	0.138788	
9348.708556	0.138393	
9348.710098	0.137849	
9348.711583	0.138059	
9348.713126	0.138663	
9348.714614	0.138240	
9348.716155	0.138034	
9348.717647	0.138401	
9348.719177	0.137277	
9348.720698	0.137603	
9348.722212	0.138051	
9348.723733	0.136923	
9348.725215	0.136218	
9348.726763	0.134780	
9348.728248	0.134872	
9348.729797	0.135331	
9348.731286	0.134784	
9348.732823	0.133897	
9348.734309	0.133954	
9348.735838	0.132983	
9348.737352	0.132072	
9348.738877	0.131621	
9348.740392	0.130300	
9348.741884	0.128942	
9348.743416	0.129293	
9348.744908	0.128511	
9348.746454	0.128004	
9348.747949	0.126900	
9348.749490	0.125982	
9348.750982	0.125458	
9348.752511	0.125047	
9348.754037	0.124189	
9348.755549	0.122844	
9348.757065	0.121905	
9348.758545	0.120793	
9348.760100	0.119379	
9348.761585	0.118807	
9348.763125	0.119279	
9348.764613	0.118219	
9348.766153	0.116938	
9348.767638	0.116841	
9348.769177	0.115524	
9348.770682	0.114537	
9348.772206	0.114638	
9348.773720	0.113184	
9348.775203	0.112870	
9348.776750	0.111500	
9348.778240	0.110916	
9348.779793	0.110706	
9348.781288	0.110199	
9348.782823	0.110501	
9348.784320	0.108837	
9348.785840	0.109147	
9348.787358	0.108185	
9348.788868	0.107045	
9348.790390	0.106295	
9348.791872	0.105474	
9348.793423	0.104801	
9348.794910	0.104990	
9348.796445	0.104958	
9348.797933	0.103898	
9348.799474	0.103987	
9348.800961	0.103669	
9348.802496	0.103427	
9348.803997	0.102670	
9348.805521	0.102142	
9348.807032	0.100422	
9348.808518	0.100213	
9348.810058	0.100233	
9348.811547	0.099016	
9348.813099	0.099270	
9348.814587	0.099870	
9348.816109	0.099004	
9348.817607	0.097779	
9348.819132	0.097916	
9348.820655	0.097691	
9348.822168	0.096241	
9348.823687	0.095951	
9348.825170	0.095262	
9348.826716	0.094500	
9348.828202	0.093509	
9348.829734	0.093409	
9348.831224	0.093223	
9348.832775	0.092700	
9348.834261	0.092212	
9348.835786	0.090613	
9348.837302	0.089787	
9348.838811	0.089195	
9348.840331	0.088434	
9348.841812	0.087060	
9348.843361	0.086496	
9348.844851	0.085908	
9348.846394	0.084349	
9348.847889	0.083628	
9348.849431	0.082145	
9348.850919	0.083133	
9348.852448	0.082008	
9348.853951	0.080236	
9348.855473	0.079555	
9348.856981	0.078705	
9348.858464	0.076820	
9348.860015	0.076099	
9348.861501	0.075116	
9348.863031	0.074874	
9348.864520	0.073964	
9348.866062	0.073364	
9348.867548	0.072320	
9348.869060	0.071088	
9348.870581	0.069464	
9348.872102	0.067680	
9348.873624	0.066870	
9348.875108	0.065597	
9348.876659	0.064393	
9348.878150	0.064050	
9348.879697	0.063527	
9348.881183	0.062084	
9348.882722	0.062012	
9348.898911	0.057694	
9348.900428	0.054862	
9348.901934	0.054060	
9348.903477	0.053021	
9348.904970	0.053053	
9348.906518	0.050515	
9348.908012	0.049444	
9348.909558	0.049033	
9348.911059	0.048408	
9348.912586	0.048449	
9348.914109	0.047881	
9348.915625	0.047047	
9348.917145	0.046104	
9348.918655	0.045871	
9348.920182	0.044594	
9348.921669	0.043627	
9348.923201	0.042668	
9348.924686	0.042732	
9348.926223	0.041633	
9348.927715	0.041226	
9348.929249	0.041117	
9348.930756	0.039868	
9348.932284	0.040126	
9348.933797	0.039107	
9348.935308	0.039441	
9348.936834	0.038998	
9348.938318	0.038491	
9348.939864	0.037653	
9348.941356	0.037697	
9348.942901	0.036674	
9348.944398	0.036086	
9348.945926	0.036400	
9348.947444	0.035445	
9348.948960	0.035494	
9348.950474	0.036505	
9348.951994	0.035606	
9348.953515	0.035050	
9348.955002	0.034188	
9348.956540	0.034015	
9348.958026	0.033451	
9348.959578	0.032718	
9348.961066	0.032529	
9348.962603	0.032496	
9348.964124	0.031409	
9348.965638	0.032231	
9348.967159	0.031139	
9348.968675	0.031385	
9348.970206	0.030829	
9348.971691	0.029777	
9348.973246	0.028952	
9348.974735	0.028996	
9348.976278	0.027606	
9348.977768	0.028226	
9348.979295	0.028698	
9348.980811	0.026458	
9348.982333	0.026748	
9348.983842	0.026676	
9348.985358	0.026228	
9348.986872	0.025165	
9348.988360	0.024452	
9348.989899	0.023106	
9348.991383	0.023179	
9348.992927	0.022760	
9348.994416	0.021556	
9348.995951	0.021551	
9348.997468	0.021165	
9348.998986	0.020609	
9349.000505	0.019118	
9349.002025	0.018635	
9349.003548	0.019002	
9349.005031	0.018273	
9349.006594	0.016548	
